group,screen,story_id,status,priority,user_story,evidence,gap
Configuration/Alerts,Setup,ALRT-03,done,Medium,"As an HR admin, I want to save my setup choice and proceed to the next configuration step, so that I can continue configuring alerts in sequence",alerts-tab.tsx 'Save & Next' button saves setup and advances to Configure Alerts step,
Configuration/Alerts,Setup,ALRT-04,done,Low,"As an HR admin, I want to cancel the setup without saving, so that I can discard changes I did not intend to make",alerts-tab.tsx 'Cancel' button resets draft to last saved config with info toast,
Configuration/Asset Tracking,Asset Categories,ASC-01,done,High,"As an HR admin, I want to view a paginated list of asset categories with their code, maintain-asset-id flag and approximate life, so that I can review all defined categories at a g","config-categories.tsx table: Category ID, Category, Code, maintainAssetIds, approxLifeMonths",No pagination controls (single-page mock list)
Configuration/Asset Tracking,Asset Categories,ASC-02,done,High,"As an HR admin, I want to add a new asset category, so that I can track a new type of company asset",config-categories.tsx 'New Category' dialog -> config.addCategory,
Configuration/Asset Tracking,Asset Categories,ASC-03,done,Medium,"As an HR admin, I want to search asset categories, so that I can quickly find a specific category among many",config-categories.tsx search input 'Search category or code' filters list,
Configuration/Asset Tracking,Asset Categories,ASC-04,done,Low,"As an HR admin, I want to reset my search filters, so that I can return to the full list of asset categories",config-categories.tsx Reset button (line ~104) clears filters,
Configuration/Asset Tracking,Asset Categories,ASC-05,done,Medium,"As an HR admin, I want to edit an existing asset category, so that I can correct its code, life expectancy or maintain-id setting",config-categories.tsx openEdit -> 'Edit category' dialog -> config.updateCategory,
Configuration/Asset Tracking,Asset Categories,ASC-06,partial,Low,"As an HR admin, I want to navigate through pages and refresh the list, so that I can browse and see the latest asset categories",Asset Categories screen artifact in kensium-artifacts.ts; UI list has no paging/refresh,No pagination (Next/page controls) or Refresh action on the category list
Configuration/Asset Tracking,Setup,AST-01,done,High,"As a System admin, I want to enable or disable the asset module via a Yes/No setting, so that I can control whether asset tracking is available in the system",assets/components/config-tab.tsx General tab — 'enable the asset module' Switch (moduleDraft),
Configuration/Asset Tracking,Setup,AST-02,done,High,"As a System admin, I want to save the asset module setting, so that my configuration persists across sessions",config-tab.tsx Save button -> config.setModuleEnabled; use-asset-config.ts persists state,
Configuration/Asset Tracking,Setup,AST-03,partial,Medium,"As a System admin, I want to save and continue to the next configuration step, so that I can complete setup efficiently",Setup exists as engine artifact in kensium-artifacts.ts; config-tab has Save only,No Save & Next wizard-style navigation to next configuration step
Configuration/Asset Tracking,Setup,AST-04,done,Low,"As a System admin, I want to cancel changes on the setup screen, so that I can discard edits I did not intend to keep",config-tab.tsx Cancel button reverts moduleDraft to config.moduleEnabled,
Configuration/Attendance Tracking,Attendance Auditors Group,AAG-01,partial,High,"As an HR admin, I want to add a new attendance auditors group, so that I can define who audits attendance for a location",kensium-artifacts.ts 'Attendance Auditors Group' artifact only,No auditors-group UI (add group/panel) in attendance module
Configuration/Attendance Tracking,Attendance Auditors Group,AAG-02,partial,Medium,"As an HR admin, I want to view auditors groups in a list showing panel name, description and applicable location, so that I can see all configured audit panels at a glance",kensium-artifacts.ts artifact only,"No list of auditor groups (panel name, description, members)"
Configuration/Attendance Tracking,Attendance Auditors Group,AAG-03,partial,Medium,"As an HR admin, I want to edit an existing auditors group, so that I can keep panel membership and locations up to date",kensium-artifacts.ts artifact only,No edit flow for auditor groups
Configuration/Attendance Tracking,Attendance Auditors Group,AAG-04,partial,Low,"As an HR admin, I want to refresh the auditors group list, so that I always see the latest saved panels",kensium-artifacts.ts artifact only,No auditor group list/refresh
Configuration/Attendance Tracking,Audit Configuration Settings,ACS-01,partial,High,"As an HR admin, I want to enable support for attendance audit, so that the organization can run periodic attendance audits",kensium-artifacts.ts 'Audit Configuration Settings' artifact only,No enable-attendance-audit toggle in UI
Configuration/Attendance Tracking,Audit Configuration Settings,ACS-02,partial,Medium,"As an HR admin, I want to choose the method for selecting sample data (e.g. Random), so that audit samples are drawn consistently",kensium-artifacts.ts artifact only,No sample-data selection method setting
Configuration/Attendance Tracking,Audit Configuration Settings,ACS-03,partial,High,"As an HR admin, I want to automatically include habitual violators in each audit, so that repeat offenders are always reviewed",kensium-artifacts.ts artifact only,No habitual-violators inclusion setting
Configuration/Attendance Tracking,Audit Configuration Settings,ACS-04,partial,Medium,"As an HR admin, I want to set the history period and minimum number of reprimands considered, so that habitual violators are identified using clear thresholds",kensium-artifacts.ts artifact only,No history period / min reprimands settings
Configuration/Attendance Tracking,Audit Configuration Settings,ACS-05,partial,Medium,"As an HR admin, I want to limit how many times a user can reschedule an audit and when the employee list can be generated, so that audits run within controlled timeframes",kensium-artifacts.ts artifact only,No reschedule-limit settings
Configuration/Attendance Tracking,Audit Configuration Settings,ACS-06,partial,Low,"As an HR admin, I want to cancel changes to audit configuration, so that I can discard edits I do not want to keep",kensium-artifacts.ts artifact only,No audit config form / cancel action
Configuration/Attendance Tracking,Audit Recurrence Pattern,ARP-01,done,High,"As an HR admin, I want to add a new audit recurrence pattern, so that attendance audits repeat automatically on a defined schedule",attendance/components/config-workflows.tsx — Schedule recurring audit dialog (addAuditPattern),
Configuration/Attendance Tracking,Audit Recurrence Pattern,ARP-02,done,Medium,"As an HR admin, I want to view recurrence patterns with their location and work area, so that I can see when and where audits recur",config-workflows.tsx Audit Recurrence Patterns table with location & work area,
Configuration/Attendance Tracking,Audit Recurrence Pattern,ARP-03,partial,Medium,"As an HR admin, I want to edit an existing recurrence pattern, so that I can adjust audit timing for a location or work area",config-workflows.tsx add-only dialog,No edit of an existing recurrence pattern
Configuration/Attendance Tracking,Audit Recurrence Pattern,ARP-04,done,Low,"As an HR admin, I want to refresh the recurrence pattern list, so that I see the most recent configuration",config-workflows.tsx live-updating pattern list,
Configuration/Attendance Tracking,Break,BRK-01,done,High,"As an HR admin, I want to add a new break with an allowable duration and applicability, so that employee break time is governed by policy","attendance/components/config-policies.tsx — Add Break dialog (duration, applicability)",
Configuration/Attendance Tracking,Break,BRK-02,done,Medium,"As an HR admin, I want to view configured breaks with their allowable duration and applicability, so that I can review break policies","config-policies.tsx Breaks table (allowable minutes, applicability)",
Configuration/Attendance Tracking,Break,BRK-03,partial,Medium,"As an HR admin, I want to edit or view an existing break, so that I can keep break durations and applicability accurate",config-policies.tsx add-only,No edit/view detail for an existing break
Configuration/Attendance Tracking,Break,BRK-04,done,Low,"As an HR admin, I want to refresh the break list, so that I always see the latest break configurations",config-policies.tsx live-updating breaks list,
Configuration/Attendance Tracking,Change Request Approvers,CRA-01,partial,High,"As an HR admin, I want to add a new change request approver, so that attendance change requests are routed to the correct approvers",config-workflows.tsx attendance-correction workflow with approver levels (seed wf-01),No add-new-approver flow; levels are seed-only
Configuration/Attendance Tracking,Change Request Approvers,CRA-02,partial,Medium,"As an HR admin, I want to search approvers by location, department and position, so that I can quickly find the relevant approver configuration",config-workflows.tsx text search over workflows,No location/department/position filter search
Configuration/Attendance Tracking,Change Request Approvers,CRA-03,partial,Low,"As an HR admin, I want to reset the search filters, so that I can clear my selection and view all approvers again",config-workflows.tsx search box clearable,No explicit filter reset for loc/dept/position filters
Configuration/Attendance Tracking,Change Request Approvers,CRA-04,done,Medium,"As an HR admin, I want to set the payroll period date, so that change request approval rules align with the monthly payroll cycle",config-workflows.tsx payroll cutoff day input + saveCutoff (TNA-43),
Configuration/Attendance Tracking,Change Request Approvers,CRA-05,done,Medium,"As an HR admin, I want to enable second level approval for change requests after the payroll date, so that late change requests get additional oversight",config-workflows.tsx L2 approval after payroll cutoff (payrollCutoffDay on correction workflow),
Configuration/Attendance Tracking,Change Request Approvers,CRA-06,partial,Medium,"As an HR admin, I want to save and continue to the next configuration step, so that I can complete the attendance setup flow efficiently",config saved inline via tabs (config-tab.tsx),No save-and-next wizard step navigation
Configuration/Attendance Tracking,Comp Off,CMP-01,done,High,"As an HR admin, I want to enable comp off, so that employees can earn and avail compensatory time off",config-policies.tsx 'Comp off enabled' switch (compOffEnabled),
Configuration/Attendance Tracking,Comp Off,CMP-02,done,High,"As an HR admin, I want to add a new comp off settings template, so that comp off rules can be tailored by employee class",config-policies.tsx Add Template dialog for comp off settings,
Configuration/Attendance Tracking,Comp Off,CMP-03,done,Medium,"As an HR admin, I want to view comp off settings with template name, class specificity, minimum hours and applicability, so that I can review comp off policies","config-policies.tsx comp off table: name, classSpecific, minHoursBeyond",
Configuration/Attendance Tracking,Comp Off,CMP-04,partial,Medium,"As an HR admin, I want to edit or view a comp off settings template, so that I can keep comp off thresholds accurate",config-policies.tsx add-only,No edit/view of an existing comp off template
Configuration/Attendance Tracking,Comp Off,CMP-05,partial,Medium,"As an HR admin, I want to save and continue to the next configuration step, so that I can complete the attendance setup flow",inline save via tabs,No save-and-next wizard navigation
Configuration/Attendance Tracking,Comp Off Approvers,COA-01,partial,High,"As an HR admin, I want to add a new comp off approver, so that compensatory off requests are routed to the correct approvers by location",kensium-artifacts.ts artifact only; WorkflowKind has no comp-off,No comp-off approver workflow/UI
Configuration/Attendance Tracking,Comp Off Approvers,COA-02,partial,Medium,"As an HR admin, I want to view comp off approvers with their locations and approver hierarchy, so that I can verify approval routing",kensium-artifacts.ts artifact only,"No comp-off approver list (locations, hierarchy)"
Configuration/Attendance Tracking,Comp Off Approvers,COA-03,partial,Medium,"As an HR admin, I want to edit an existing comp off approver, so that I can update approvers as the organization changes",kensium-artifacts.ts artifact only,No comp-off approver edit
Configuration/Attendance Tracking,Comp Off Approvers,COA-04,partial,Low,"As an HR admin, I want to refresh the comp off approver list, so that I always see the latest routing configuration",kensium-artifacts.ts artifact only,No comp-off approver list/refresh
Configuration/Attendance Tracking,Email Templates,ET-01,partial,High,"As an HR admin, I want to view the list of attendance email templates with their type and description, so that I know which email notifications exist",kensium-artifacts.ts 'Email Templates' notification-template artifact (placeholder body),No email templates list UI in attendance module
Configuration/Attendance Tracking,Email Templates,ET-02,partial,Medium,"As an HR admin, I want to view the details of an individual email template, so that I can review its content before it is sent",kensium-artifacts.ts artifact only,No template detail view
Configuration/Attendance Tracking,Email Templates,ET-03,partial,Low,"As an HR admin, I want to page through the email templates list, so that I can access all templates beyond the first page",kensium-artifacts.ts artifact only,No paginated template list
Configuration/Attendance Tracking,Email Templates,ET-04,partial,Low,"As an HR admin, I want to refresh the email templates list, so that I always see the latest templates",kensium-artifacts.ts artifact only,No template list/refresh
Configuration/Attendance Tracking,Flexi Schedule Settings,FSS-01,done,High,"As an HR admin, I want to enable flexi schedule settings, so that employees can work flexible schedules",config-policies.tsx 'Flexi scheduling enabled' switch (saveFlexi),
Configuration/Attendance Tracking,Flexi Schedule Settings,FSS-02,done,Medium,"As an HR admin, I want to enable location based flexi schedule settings, so that flexi rules can vary by office location",config-policies.tsx flexi basis select — location,
Configuration/Attendance Tracking,Flexi Schedule Settings,FSS-03,done,Medium,"As an HR admin, I want to enable department based flexi schedule settings, so that flexi rules can vary by department",config-policies.tsx flexi basis select — department,
Configuration/Attendance Tracking,Flexi Schedule Settings,FSS-04,done,Medium,"As an HR admin, I want to enable position based flexi schedule settings, so that flexi rules can vary by position",config-policies.tsx flexi basis select — position,
Configuration/Attendance Tracking,Flexi Schedule Settings,FSS-05,partial,Medium,"As an HR admin, I want to move items between selection lists using the transfer controls, so that I can assign which locations, departments or positions use flexi scheduling",config-policies.tsx checkbox assignment list for flexi groups,Checkbox list instead of dual-list transfer controls
Configuration/Attendance Tracking,Flexi Schedule Settings,FSS-06,partial,Medium,"As an HR admin, I want to save and continue to the next configuration step, so that I can complete the attendance setup flow",inline save via saveFlexi,No save-and-next wizard navigation
Configuration/Attendance Tracking,Notification Templates,NT-01,partial,High,"As an HR admin, I want to view the list of attendance notification templates with their type and description, so that I know which in-app notifications exist",kensium-artifacts.ts 'Notification Templates' artifact (placeholder),No notification templates list UI
Configuration/Attendance Tracking,Notification Templates,NT-02,partial,Medium,"As an HR admin, I want to view the details of an individual notification template, so that I can review its content",kensium-artifacts.ts artifact only,No template detail view
Configuration/Attendance Tracking,Notification Templates,NT-03,partial,Low,"As an HR admin, I want to refresh the notification templates list, so that I always see the latest templates",kensium-artifacts.ts artifact only,No template list/refresh
Configuration/Attendance Tracking,Out Time Request Settings,OTR-01,done,High,"As an HR admin, I want to add new out time request settings, so that personal out time is limited by policy",attendance/components/config-limits.tsx — Add out-time settings dialog,
Configuration/Attendance Tracking,Out Time Request Settings,OTR-02,done,High,"As an HR admin, I want to set the maximum personal out time requests and hours per month, so that out time usage stays within limits",config.ts OutTimeSettings maxRequestsPerMonth/maxHoursPerMonth edited in config-limits dialog,
Configuration/Attendance Tracking,Out Time Request Settings,OTR-03,done,Medium,"As an HR admin, I want to configure out time settings as employee class specific, so that limits can differ by employee class",config-limits.tsx classSpecific toggle + employee class select,
Configuration/Attendance Tracking,Out Time Request Settings,OTR-04,partial,Medium,"As an HR admin, I want to edit existing out time request settings, so that I can adjust limits over time",config-limits.tsx add-only,No edit of existing out-time settings
Configuration/Attendance Tracking,Out Time Request Settings,OTR-05,done,Low,"As an HR admin, I want to refresh the out time request settings list, so that I always see the latest configuration",config-limits.tsx live-updating settings table,
Configuration/Attendance Tracking,Over Time,OT-01,partial,High,"As an HR admin, I want to enable over time, so that employees can log and be approved for overtime work",overtime-tab.tsx + seedOvertimeRules; kensium artifact 'Over Time',No enable-overtime toggle
Configuration/Attendance Tracking,Over Time,OT-02,done,Medium,"As an HR admin, I want to allow over time to be availed on weekly offs and holidays, so that work on non-working days is counted as overtime",config.ts rule-02 holiday/weekly-off OT x2; overtime-tab.tsx Holiday OT,
Configuration/Attendance Tracking,Over Time,OT-03,partial,Medium,"As an HR admin, I want to move items between selection lists using the transfer controls, so that I can define the scope over time applies to",seedOtEligibility in config.ts only,No transfer-list UI to assign OT eligibility
Configuration/Attendance Tracking,Over Time,OT-04,partial,Medium,"As an HR admin, I want to save and continue to the next configuration step, so that I can complete the attendance setup flow",inline save via tabs,No save-and-next wizard navigation
Configuration/Attendance Tracking,Over Time Approvers,OTA-01,partial,High,"As an HR admin, I want to add a new over time approver, so that overtime requests are routed to the correct approvers by location",config-workflows.tsx overtime workflows (wf-02/03) with approver levels,No add-new-OT-approver flow; seed-only
Configuration/Attendance Tracking,Over Time Approvers,OTA-02,partial,Medium,"As an HR admin, I want to set the maximum over time hours that can be approved by the immediate supervisor, so that supervisor approval authority is capped",config-workflows.tsx displays supervisorCapHours (TNA-30),Cap displayed but not editable in UI
Configuration/Attendance Tracking,Over Time Approvers,OTA-03,done,Medium,"As an HR admin, I want to view over time approvers with their locations and approver hierarchy, so that I can verify approval routing",config-workflows.tsx OT workflows list with location scope and approver hierarchy,
Configuration/Attendance Tracking,Over Time Approvers,OTA-04,partial,Medium,"As an HR admin, I want to edit an existing over time approver and save & next, so that I can update routing and continue the setup flow",updateWorkflow exists in use-attendance-config.ts,No edit dialog / save & next for OT approvers
Configuration/Attendance Tracking,Rule,RUL-01,partial,High,"As an HR admin, I want to add a new attendance rule, so that attendance events like late coming or early leaving are flagged automatically",config.ts seedOvertimeRules decision table (TNA-26),No add-attendance-rule UI (late come etc. with expression/color)
Configuration/Attendance Tracking,Rule,RUL-02,partial,Medium,"As an HR admin, I want to view attendance rules with their expression, time period, color and applicability, so that I can review the configured attendance logic",overtime-tab.tsx shows OT rule outcomes,"No rules list with expression, time period, color"
Configuration/Attendance Tracking,Rule,RUL-03,partial,Medium,"As an HR admin, I want to edit or view an existing rule, so that I can keep attendance rule thresholds accurate",rules are seed data only,No edit/view of an attendance rule
Configuration/Attendance Tracking,Rule,RUL-04,partial,Low,"As an HR admin, I want to page through and refresh the rules list, so that I can access all rules and see the latest data",no rules list UI,No paging/refresh over rules list
Configuration/Attendance Tracking,Setup,SET-01,done,High,"As a System admin, I want to enable or disable the attendance tracking module, so that the organization can turn attendance tracking on when it is ready",attendance/components/platform-tab.tsx Tenant Module Enablement switch (TNA-21),
Configuration/Attendance Tracking,Setup,SET-02,partial,Medium,"As a System admin, I want to save and continue to the next configuration step, so that I can proceed through the attendance setup flow",toggle saves inline,No save-and-next wizard navigation
Configuration/Attendance Tracking,Setup,SET-03,partial,Medium,"As a System admin, I want to be prompted to configure dependent settings like Over Time and Flexi Schedule Settings, so that I do not miss required configuration steps",kensium-artifacts.ts Setup artifacts only,"No prompt to configure dependent settings (OT, WFH) on enable"
Configuration/Attendance Tracking,Tracking Device,TD-01,done,High,"As a System admin, I want to add a new tracking device, so that attendance can be captured at entry and exit points","attendance/components/capture-tab.tsx New Device dialog (addDevice, TNA-40)",
Configuration/Attendance Tracking,Tracking Device,TD-02,done,Medium,"As a System admin, I want to view tracking devices with their location, work area, entry/exit, tracking mode and alert email, so that I can manage all attendance devices","capture-tab.tsx devices table: location, work area, mode",
Configuration/Attendance Tracking,Tracking Device,TD-03,done,Medium,"As a System admin, I want to configure the email address alerts are sent to for a device, so that the right person is notified about device issues",capture-tab.tsx alertEmail field on device; failures alert configured email,
Configuration/Attendance Tracking,Tracking Device,TD-04,partial,Medium,"As a System admin, I want to edit an existing tracking device, so that I can keep device details and locations accurate",capture-tab.tsx add-only,No edit of an existing tracking device
Configuration/Attendance Tracking,Tracking Device,TD-05,done,Low,"As a System admin, I want to refresh the tracking device list, so that I always see the latest devices",capture-tab.tsx live-updating devices list,
Configuration/Attendance Tracking,Tracking Mode,TM-01,done,High,"As a System admin, I want to add a new tracking mode, so that attendance can be captured through different methods such as ESSP, ACR or manual entry",attendance/components/tracking-mode-dialog.tsx New Mode dialog (TNA-41),
Configuration/Attendance Tracking,Tracking Mode,TM-02,done,High,"As a System admin, I want to choose whether attendance tracking is based on priority or grace period, so that multiple tracking modes are reconciled correctly",tracking-mode-dialog.tsx reconciliation select: by priority / grace period,
Configuration/Attendance Tracking,Tracking Mode,TM-03,done,Medium,"As a System admin, I want to set the grace period and minimum break duration, so that small time gaps and short breaks are handled per policy",tracking-mode-dialog.tsx grace minutes + min break duration inputs,
Configuration/Attendance Tracking,Tracking Mode,TM-04,partial,Medium,"As a System admin, I want to configure supervisor alerts and attendance sheet approval timing relative to payroll, so that attendance is finalized on schedule",tracking-mode-dialog.tsx has reminders only,No supervisor alerts or attendance-sheet approval time settings
Configuration/Attendance Tracking,Tracking Mode,TM-05,done,Medium,"As a System admin, I want to send reminders to employees who have not recorded attendance via Email or SMS, so that missing attendance is captured promptly",tracking-mode-dialog.tsx Email/SMS reminder checkboxes before payroll cutoff,
Configuration/Attendance Tracking,Tracking Mode,TM-06,partial,Medium,"As a System admin, I want to set the priority of tracking modes, so that the system knows which device data to consider based on business rules",reconciliation 'by priority' exists,No per-mode priority ordering control
Configuration/Attendance Tracking,Work From Home Approvers,WFHA-01,partial,High,"As an HR admin, I want to add a new work from home approver, so that WFH requests are routed to the correct approvers by location",config-workflows.tsx WFH workflow wf-04 with levels,No add-new-WFH-approver flow; seed-only
Configuration/Attendance Tracking,Work From Home Approvers,WFHA-02,partial,Medium,"As an HR admin, I want to set the maximum work from home hours that can be approved by the immediate supervisor, so that supervisor approval authority is capped",supervisorCapHours is overtime-only in config.ts,No max WFH hours approvable by supervisor setting
Configuration/Attendance Tracking,Work From Home Approvers,WFHA-03,done,Medium,"As an HR admin, I want to view work from home approvers with their locations and approver hierarchy, so that I can verify approval routing",config-workflows.tsx WFH workflow listed with scope and approver hierarchy,
Configuration/Attendance Tracking,Work From Home Approvers,WFHA-04,partial,Medium,"As an HR admin, I want to edit an existing WFH approver and save & next, so that I can update routing and continue the setup flow",updateWorkflow hook exists,No edit dialog / save & next for WFH approver
Configuration/Attendance Tracking,Work From Home Settings,WFHS-01,done,High,"As an HR admin, I want to enable work from home based settings, so that employees can request and be governed by WFH policies",config-limits.tsx wfhEnabled switch gating WFH templates,
Configuration/Attendance Tracking,Work From Home Settings,WFHS-02,done,High,"As an HR admin, I want to add a new work from home settings template, so that WFH rules can be tailored by employee class",config-limits.tsx Add WFH template dialog,
Configuration/Attendance Tracking,Work From Home Settings,WFHS-03,done,Medium,"As an HR admin, I want to set the maximum number of work from home instances per month, so that WFH usage stays within limits",config-limits.tsx maxPerMonth field on WFH template,
Configuration/Attendance Tracking,Work From Home Settings,WFHS-04,partial,Medium,"As an HR admin, I want to view and edit WFH settings templates with their class specificity and monthly limits, so that I can keep WFH policies accurate","config-limits.tsx templates table (classSpecific, maxPerMonth)",View exists; no edit of existing template
Configuration/Attendance Tracking,Work From Home Settings,WFHS-05,partial,Medium,"As an HR admin, I want to save and continue to the next configuration step, so that I can complete the attendance setup flow",inline save via tabs,No save-and-next wizard navigation
Configuration/Benefits,Setup,BEN-01,partial,High,"As an HR admin, I want to enable or disable the benefit management module, so that I can control whether benefits functionality is available in the HRMS",kensium-artifacts.ts:590 'Enable or disable the benefit management module' catalog artifact only,No Benefits Setup UI/toggle in POC; artifact definition is placeholder
Configuration/Benefits,Setup,BEN-02,partial,High,"As an HR admin, I want to save my benefit management configuration, so that my selection is persisted and applied to the system",kensium-artifacts.ts benefit management artifact only; no setup form/Save in any module,No Save flow persisting benefit module config in UI
Configuration/Benefits,Setup,BEN-03,partial,Medium,"As an HR admin, I want to cancel changes to the benefit setup, so that I can discard an unintended selection without saving",kensium-artifacts.ts benefit management artifact only; no setup form/Cancel in any module,No Cancel/discard flow for benefit setup in UI
Configuration/Calendar,Configure Calendar,CAL-01,done,High,"As an HR admin, I want to enable employees to add and view other employees' calendars, so that team members can coordinate schedules",components/config-calendar.tsx — 'Employees can add and view other employees' calendars' switch,
Configuration/Calendar,Configure Calendar,CAL-02,done,High,"As an HR admin, I want to allow the reporting manager hierarchy to view an employee's calendar events, so that managers have visibility into their team's schedules",components/config-calendar.tsx — 'Reporting manager hierarchy can view calendar events' switch,
Configuration/Calendar,Configure Calendar,CAL-03,done,Medium,"As an HR admin, I want to allow HR to view an employee's calendar events, so that HR can oversee organization-wide scheduling",components/config-calendar.tsx — 'HR can view any employee's calendar events' switch,
Configuration/Calendar,Configure Calendar,CAL-04,done,Medium,"As an HR admin, I want event based announcements to be visible on the calendar, so that employees see relevant announcements in context",config-calendar.tsx announcements switch + strip on company-calendar-tab.tsx,
Configuration/Calendar,Configure Calendar,CAL-05,done,High,"As an HR admin, I want to save my calendar accessibility configuration, so that the chosen visibility settings are persisted",config-calendar.tsx Save configuration → saveCalendarAccess in use-leave-settings.ts,
Configuration/Calendar,Setup,CAL-01,done,High,"As a System admin, I want to enable the calendar module, so that calendar functionality becomes available to the organization",config-calendar.tsx Calendar Setup yes/no radio + Save (enable) — Admin → Settings → Calendar,
Configuration/Calendar,Setup,CAL-02,done,Medium,"As a System admin, I want to disable the calendar module, so that calendar features are turned off when not needed",config-calendar.tsx Setup 'No' + Save disables module; accessibility switches lock,
Configuration/Calendar,Setup,CAL-03,done,Medium,"As a System admin, I want to save and proceed to the next configuration step, so that I can continue setting up the calendar in sequence",config-calendar.tsx Save & Next advances to next config step (config-tab.tsx STEPS),
Configuration/Calendar,Setup,CAL-04,done,Low,"As a System admin, I want to cancel my changes on the Setup screen, so that I can discard unintended edits",config-calendar.tsx Cancel resets Setup draft with 'changes discarded' toast,
Configuration/Compensation,Compensation,COMP-01,partial,High,"As an HR admin, I want to view the list of salary slabs with their name, employee class specificity and slab range, so that I can review the configured compensation metrics",kensium-artifacts.ts 'Compensation' artifact (salary slab list); no slab table UI in employees module,"Build slab list table (name, class-specific, range) in a Compensation config tab"
Configuration/Compensation,Compensation,COMP-02,partial,High,"As an HR admin, I want to add a new salary metric, so that I can define additional compensation slabs",kensium-artifacts.ts 'Compensation' artifact only; no add-slab form in POC UI,Add 'Add new salary metrics' form/dialog creating a slab row
Configuration/Compensation,Compensation,COMP-03,partial,High,"As an HR admin, I want to edit an existing salary slab, so that I can keep slab ranges and settings up to date",kensium-artifacts.ts 'Compensation' artifact only; no edit-slab UI,Add edit action on slab rows with save
Configuration/Compensation,Compensation,COMP-04,partial,Medium,"As an HR admin, I want to set the accepted difference between provided salary and calculated salary, so that minor salary discrepancies are tolerated during processing",kensium-artifacts.ts 'Compensation' artifact only; no accepted-difference input in UI,Add accepted salary difference setting field
Configuration/Compensation,Compensation,COMP-05,partial,High,"As an HR admin, I want to save my compensation configuration using Save or Save & Next, so that I can persist changes and continue configuring related settings",kensium-artifacts.ts 'Compensation' artifact only; no Save/Save & Next flow,Add Save / Save & Next persistence on Compensation screen
Configuration/Compensation,Compensation,COMP-06,partial,Medium,"As an HR admin, I want to navigate between the Compensation, Expense Head and Rehire Settings tabs, so that I can configure all compensation-related areas in one place","Artifacts 'Compensation', 'Expense Head', 'Rehire Settings' exist in kensium-artifacts.ts; no tabbed UI",Add Compensation/Expense Head/Rehire Settings tab navigation
Configuration/Compensation,Compensation,COMP-07,partial,Low,"As an HR admin, I want to refresh and page through the slab list, so that I can see the latest data across multiple entries",kensium-artifacts.ts 'Compensation' artifact only; no slab list to refresh/paginate,Add refresh and pagination on slab list
