story_id,module,role,title,user_story,acceptance_criteria,priority,source
NTF-11,Notifications and Communications,Company Admin,Template placeholders and dynamic data insertion,"As a Company Admin, I want templates to support placeholders and dynamic data insertion, so that each notification is populated with the correct context-specific details.","Given a template contains placeholders, when a notification is generated, then the placeholders are replaced with the corresponding dynamic data (e.g., name, item, date).; Given a placeholder has no available value, when the notification is rendered, then the template handles the missing value gracefully without breaking delivery.; Given I edit a template, when I insert a placeholder, then I can select from the supported dynamic fields for that event type.; Given dynamic data insertion, when the notification is delivered across any channel, then the resolved values render consistently.",Medium,FR 6.27.4 (Templating — placeholders and dynamic data insertion)
NTF-12,Notifications and Communications,Employee (User),User notification preferences,"As an Employee (User), I want to configure my channel preferences, event subscriptions, and delivery frequency, so that I receive notifications the way I prefer.","Given my notification preferences, when I select preferred channels, then future notifications respect my channel selections subject to mandatory email.; Given event subscription settings, when I subscribe to or unsubscribe from an event type, then I only receive notifications for my subscribed events (except mandatory/critical events).; Given frequency configuration, when I set a delivery frequency (e.g., immediate, daily digest, weekly), then notifications are delivered according to that frequency.; Given I attempt to disable email for critical communications, when I save, then email remains enforced for those events.",Medium,"FR 6.27.5 (User Preferences — channels, subscriptions, frequency)"
NTF-13,Notifications and Communications,Platform Admin,Configure third-party notification connectors,"As a Platform Admin, I want to provision and manage the Microsoft Teams and WhatsApp third-party connectors, so that these optional messaging channels can be made available for companies to use.","Given the platform, when I configure a Teams or WhatsApp connector, then I can supply the integration credentials and enable the connector for use.; Given a connector is provisioned, when a Company Admin enables the channel, then notifications can be routed through it.; Given a connector is disabled or its credentials are invalid, when delivery is attempted, then the platform reports the failure and falls back to email.; Given optional channels, when no connector is provisioned, then Teams/WhatsApp remain unavailable and email plus other enabled channels are used.",Low,"FR 6.27.1 (Channels — Teams/WhatsApp via connectors, optional)"
NTF-14,Notifications and Communications,Employee (Non-User),Email notifications for non-user employees,"As an Employee (Non-User), I want to receive lifecycle and event notifications by email, so that I stay informed about my employment events even though I do not have HRMS application access.","Given I have no in-app or portal access, when an event or lifecycle notification targets me, then it is delivered to my email address as the mandatory channel.; Given optional channels require app access, when a notification is generated for me, then in-app delivery is not attempted and email is used.; Given a template with placeholders, when my notification is rendered, then my context-specific details are inserted correctly for email delivery.; Given a lifecycle event (e.g., onboarding or exit), when it is recorded, then a corresponding email notification is sent to me.",Medium,"FR 6.27.1, FR 6.27.2 (Channels/Events — email delivery for non-user employees)"
NTF-15,Notifications and Communications,Group Company Admin,Group-level branded templates and notification configuration,"As a Group Company Admin, I want to configure branded notification templates and channel settings across the companies in my group, so that communications are consistent within the group while allowing company-level specialization.","Given a group of companies, when I configure a template or branding at the group level, then it can serve as the default for the group's companies.; Given a company overrides a group template, when a notification is sent for that company, then the company-specific template takes precedence.; Given group-level channel settings, when I enable or disable optional channels, then the setting applies to the group's companies subject to mandatory email.; Given placeholders and dynamic data, when a group template is used, then values resolve correctly per the target company.",Medium,"FR 6.27.4, FR 6.27.1 (Templating/Channels — group-level configuration)"
NTF-16,Notifications and Communications,Portfolio Admin,Portfolio-wide notification oversight and defaults,"As a Portfolio Admin, I want to set default notification channels, templates, and event configurations across my portfolio, so that all group companies start from consistent communication standards.","Given a portfolio of group companies, when I define default channel and template settings, then they cascade as defaults to the group companies in the portfolio.; Given a group or company customizes settings, when a notification is generated, then the more specific configuration overrides the portfolio default.; Given mandatory email, when I configure portfolio defaults, then email cannot be disabled at any level.; Given portfolio oversight, when I review notification configuration, then I can see which channels and templates are in effect across the portfolio.",Low,"FR 6.27.1, FR 6.27.4, FR 6.27.5 (Portfolio-level notification defaults and oversight)"
NTF-17,Notifications and Communications,Company Admin,Configure digest schedules and event delivery models,"As a Company Admin, I want to configure which events are event-driven versus batched into scheduler-driven digests and set the digest schedules, so that employees receive the right balance of real-time and consolidated communications.","Given event types, when I configure delivery, then I can designate each as event-driven (immediate) or included in a scheduler-driven digest.; Given a digest, when I set its schedule (e.g., daily or weekly at a chosen time), then the scheduler compiles and delivers accumulated notifications at that time.; Given critical events such as approvals and escalations, when I configure delivery, then they remain event-driven and are not suppressed by digest batching.; Given a user has a personal frequency preference, when the company digest schedule runs, then the user preference is respected within the allowed options.",Medium,"FR 6.27.3, FR 6.27.2 (Delivery Models — event-driven vs scheduler-driven configuration)"
NTF-18,Notifications and Communications,Platform Admin,Persist notification and per-channel delivery records,"As a Platform Admin, I want every generated notification and its per-channel delivery outcome persisted as auditable records, so that delivery can be traced, retried, and reported on.","Given a notification is generated, when it is dispatched, then a notification record and per-channel delivery-attempt record (channel, recipient, status, timestamp) are persisted.; Given a delivery succeeds or fails, when the outcome is known, then the corresponding record is updated with the final status and any error reason.; Given an audit or investigation, when records are queried, then the full delivery history for a given event or recipient is retrievable.; Given records are historical, when past deliveries are reviewed, then their captured content and status are immutable and reflect exactly what was sent at the time.",High,"FR 6.27.2, FR 6.27.3 (L1 data — notification and delivery records)"
NTF-19,Notifications and Communications,Platform Admin,Tenant-scoped isolation of notification data,"As a Platform Admin, I want notification records, templates, and user preferences stored under tenant-scoped isolation (RLS), so that no company can access another company's communications or configuration.","Given multi-tenant storage, when any notification data is persisted, then each record is tagged with its owning tenant/company and protected by row-level security.; Given a user or admin queries notifications or preferences, when the query runs, then only records within their tenant scope are returned.; Given a connector or background job reads configuration, when it executes, then it cannot access another tenant's templates, preferences, or delivery logs.; Given the group/portfolio hierarchy, when scoped access applies, then visibility follows the hierarchy without leaking peer-company data.",High,FR 6.27.1 (L1 data — tenant-scoped storage / RLS)
NTF-20,Notifications and Communications,Company Admin,Versioned and effective-dated templates and preferences,"As a Company Admin, I want templates and notification preferences stored as versioned, effective-dated records, so that changes are tracked and the correct version applies at send time.","Given a template is edited, when I save, then a new version is persisted with effective dating while prior versions are retained in history.; Given a notification is generated, when the engine resolves the template, then it uses the template version effective as of the send time.; Given a preference change, when it is saved, then the change is recorded with its effective date and the prior settings are preserved.; Given an audit, when I review a past notification, then I can determine which template version and which preferences were in effect when it was sent.",Medium,"FR 6.27.4, FR 6.27.5 (L1 data — versioned/effective-dated config records)"
NTF-21,Notifications and Communications,Platform Admin,Notification engine resolves recipients channels and templates at dispatch,"As a Platform Admin, I want the shared Notification/Template engine to interpret per-tenant config at dispatch — resolving recipients, channels, and templates — so that notifications are produced consistently across all modules.","Given an event is raised by any module, when the notification engine processes it, then it reads the tenant's channel config, template, and recipient rules to construct the message.; Given multiple channels are enabled, when the engine dispatches, then it routes to each enabled channel while enforcing mandatory email.; Given the resolved template contains placeholders, when the engine renders, then it substitutes dynamic event data and produces channel-appropriate output.; Given the engine is shared, when different modules raise events, then the same engine logic applies uniformly without module-specific code.",High,"FR 6.27.1, FR 6.27.4 (L3 engine — Notification/Template engine)"
NTF-22,Notifications and Communications,Platform Admin,Engine delivery guarantee with retry fallback and dead-letter,"As a Platform Admin, I want the notification engine to guarantee delivery through retry, email fallback, and dead-letter handling, so that notifications are not silently lost.","Given a channel delivery fails, when the engine detects the failure, then it retries per a configured backoff policy before failing over.; Given a non-email channel remains unavailable, when retries are exhausted, then the engine falls back to email.; Given all delivery attempts fail, when the engine gives up, then the notification is moved to a dead-letter store and flagged for admin review.; Given high event volume, when the engine processes the queue, then a failure on one notification does not block delivery of others.",High,FR 6.27.3 (L3 engine — delivery guarantee / retry / dead-letter)
NTF-23,Notifications and Communications,Employee (User),In-app notification center screen,"As an Employee (User), I want an in-app notification center in the SPA where I can view, filter, and manage my notifications, so that I can track and act on updates from one place.","Given in-app notifications are enabled, when I open the notification center, then I see my notifications with read/unread state, timestamp, and event context.; Given unread notifications, when I open or mark them read, then the unread count and indicator update accordingly.; Given a notification references an item, when I select it, then I am navigated to the relevant screen or record for that item.; Given many notifications, when I filter or search by event type or date, then the list updates to match.",Medium,"FR 6.27.1, FR 6.27.2 (L4 presentation — in-app notification center)"
NTF-24,Notifications and Communications,Company Admin,Template editor screen with live preview,"As a Company Admin, I want a template editor screen in the SPA with branding controls, placeholder insertion, and live preview, so that I can author notification templates without technical help.","Given the template editor, when I edit a template, then I can apply branding, insert supported placeholders from a picker, and see a live preview rendered with sample data.; Given a placeholder is inserted, when I preview, then the preview renders resolved sample values for that event type.; Given I save the template, when validation passes, then the template is stored and made available to the engine, and if validation fails then errors are shown inline.; Given per-event templates, when I select an event type, then the editor loads that event's template for editing.",Medium,FR 6.27.4 (L4 presentation — template editor UX)
NTF-25,Notifications and Communications,Company Admin,Pre-built HR-domain template library,"As a Company Admin, I want a library of pre-built email and notification templates seeded per HR domain (recruitment/onboarding, asset, finance, travel, timesheet, performance, survey, training, resource management, feedback/grievance), so that each module ships with ready-to-use communications I only need to tailor rather than author from scratch.","Given the templates area, when I open it, then I see templates grouped by HR domain each with a standard set of event-specific messages; Given a domain such as Asset or Travel, when I browse its templates, then domain-relevant events (e.g., Asset Assignment, Actual Expense) already have a seeded template; Given a seeded template, when I edit and save it, then my customization is retained while the original remains restorable; Given a new company, when it is provisioned, then the full domain template library is available without manual creation.",Medium,Kensium: Configuration > HRMS > Templates > Notification Templates
NTF-26,Notifications and Communications,Company Admin,Template library browse and view screen,"As a Company Admin, I want a template list screen showing Template Type ID, Notification/Email type, Description and Task with view, refresh and pagination, so that I can locate and inspect any configured template quickly.","Given the template list screen, when it loads, then I see columns Template Type ID, type, Description and Task for each template; Given a template row, when I click View, then the full template content is displayed for review; Given more templates than fit one page, when I click Next/Last, then the following page of templates is shown; Given the list may be stale, when I click Refresh, then the list reloads with the latest saved templates.",Medium,Kensium: Configuration > HRMS > Templates > Notification Templates
NTF-27,Notifications and Communications,Company Admin,Paired email and in-app templates per event via tabs,"As a Company Admin, I want each event to have both an Email template and an In-app Notification template managed under switchable tabs, so that I can maintain consistent messaging across both channels for the same event.","Given a domain's templates, when I toggle between the Email Templates and Notification Templates tabs, then I see the corresponding channel's templates for the same domain events; Given an event that fires on multiple channels, when I edit its email and notification templates, then each channel renders its own tailored content; Given I switch tabs, when I have unsaved edits, then I am prompted to save or discard before leaving; Given both channels are configured, when the event fires, then email and in-app messages are each drawn from their respective template.",Medium,Kensium: Configuration > HRMS > Templates > Email vs Notification tabs
NTF-28,Notifications and Communications,Company Admin,Recruitment and onboarding notification templates,"As a Company Admin, I want dedicated templates for recruitment and onboarding events (Offer Approval, Candidate Acknowledgement, Candidate Letter/Document, Reference Check, Vacancy/Posting Source, Employee Joining, Pre-Joining HR, Document Custodian, Cancel Candidate), so that candidates and joiners receive accurate, stage-appropriate communications.","Given the recruitment/onboarding templates, when I open the list, then each hiring-lifecycle event has its own template; Given the Offer Approval or Employee Joining template, when I view it, then its content and placeholders reflect that specific event; Given a candidate progresses a stage, when the corresponding event fires, then the matching template is used to notify the candidate or joiner; Given an Employee (Non-User) candidate, when a recruitment template targets them, then it is delivered by email.",Medium,Kensium: Configuration > HRMS > Templates > Notification Templates (recruitment/onboarding)
NTF-29,Notifications and Communications,Company Admin,Asset lifecycle communication templates,"As a Company Admin, I want email and notification templates for asset events such as Asset Assignment and asset return/custodian changes, so that employees are informed when assets are issued to or recovered from them.","Given the asset templates, when I open them, then asset lifecycle events each have an email and a notification template; Given the Asset Assignment template, when an asset is assigned to an employee, then the employee receives the notification populated with the asset details; Given a custodian or return event, when it occurs, then the corresponding asset template is used; Given I edit an asset template, when I save, then future asset notifications use the updated content.",Low,Kensium: Configuration > HRMS > Templates > Asset Email/Notification Templates
NTF-30,Notifications and Communications,Company Admin,Travel and expense communication templates,"As a Company Admin, I want templates for travel and expense events such as Travel Management Actual Expense and travel request approvals, so that travellers and approvers receive consistent trip and reimbursement communications.","Given the travel templates, when I open them, then travel and expense events each have email and notification templates; Given the Actual Expense template, when an expense event fires, then the traveller receives the notification with the expense context; Given a travel request needs approval, when it is submitted, then the travel approval template is used to notify the approver; Given I customise a travel template, when I save, then subsequent travel communications reflect the change.",Low,Kensium: Configuration > HRMS > Templates > Travel Email/Notification Templates
NTF-31,Notifications and Communications,Company Admin,Timesheet communication templates,"As a Company Admin, I want templates for timesheet events such as Short Time and timesheet submission/approval reminders, so that employees and managers are prompted about timesheet compliance.","Given the timesheet templates, when I open them, then timesheet events each have an email and notification template; Given the Short Time template, when the short-time condition is detected, then the employee receives the notification with their timesheet context; Given a timesheet submission or approval reminder event, when it fires, then the corresponding template is used; Given I edit a timesheet template, when I save, then later timesheet communications use it.",Low,Kensium: Configuration > HRMS > Templates > Time Sheet Management Email/Notification Templates
NTF-32,Notifications and Communications,Company Admin,Performance review communication templates,"As a Company Admin, I want templates for performance management events such as Goal/KRA Ratings and appraisal-cycle notifications, so that employees and reviewers receive timely performance-cycle communications.","Given the performance templates, when I open the list, then performance-cycle events (goal setting, KRA ratings, review outcomes) each have templates; Given the Goal KRA Ratings template, when ratings are published, then the affected employee is notified using that template; Given the appraisal cycle advances a stage, when the event fires, then the matching performance template is used; Given I tailor a performance template, when I save, then subsequent review notifications reflect the change.",Low,Kensium: Configuration > HRMS > Templates > Performance Management Notification Templates
NTF-33,Notifications and Communications,Company Admin,Training communication templates,"As a Company Admin, I want templates for training events such as Enrollment, reimbursement and sponsorship notifications, so that learners are kept informed across the training lifecycle.","Given the training templates, when I open them, then learning events (enrollment, reimbursement, sponsorship) each have templates; Given the Enrollment template, when an employee is enrolled in a training, then they receive the notification with the training details; Given a reimbursement or sponsorship event, when it fires, then the corresponding training template is used; Given I edit a training template, when I save, then later training notifications use it.",Low,Kensium: Configuration > HRMS > Templates > Training Notification Templates
NTF-34,Notifications and Communications,Company Admin,Survey feedback and grievance templates,"As a Company Admin, I want templates for survey invitations and feedback/grievance events, so that employees are correctly invited to surveys and acknowledged when they raise feedback or grievances.","Given the survey and feedback templates, when I open them, then survey and feedback/grievance events each have email and notification templates; Given the Survey Notification template, when a survey is launched, then invited employees are notified using it; Given a feedback or grievance is submitted, when the event fires, then the Feedback/Grievance template acknowledges the submitter; Given I customise these templates, when I save, then future survey and grievance communications reflect the change.",Low,Kensium: Configuration > HRMS > Templates > Survey and Feedback Templates
NTF-35,Notifications and Communications,Company Admin,Enable or disable the Alerts module,"As a Company Admin, I want a master switch to enable or disable the Alerts module and step through its setup with save-and-next or cancel, so that alert generation is only active when the company wants it.","Given the Alerts setup screen, when I set the enable toggle to Yes and save, then the Alerts module becomes active across the HRMS; Given I set the toggle to No and save, then no alerts are generated; Given I am configuring in sequence, when I click Save & Next, then my choice is saved and I advance to the next configuration screen; Given I do not want to keep my changes, when I click Cancel, then the changes are discarded and I leave the screen.",Medium,Kensium: Configuration > HRMS > Alerts > Setup
NTF-36,Notifications and Communications,Company Admin,Attendance-not-recorded reminder alert toggle,"As a Company Admin, I want a configurable toggle to send a reminder alert when an employee has not recorded attendance, so that employees are prompted to record time and attendance gaps are reduced.","Given the Configure Alerts screen, when I set the attendance-not-recorded alert toggle to Yes and Save, then the reminder alert is enabled and persisted; Given the toggle is enabled, when an employee has not recorded attendance for a period, then a reminder is dispatched to that employee; Given the toggle is set to No, when attendance is missing, then no reminder alert is sent; Given the setting is saved, when the configuration is reopened, then the toggle reflects the persisted value.",Medium,Kensium: Configuration > HRMS > Alerts > Configure Alerts
NTF-37,Notifications and Communications,Employee (User),Receive attendance reminder when time is not recorded,"As an Employee (User), I want to receive a reminder when I have not recorded my attendance, so that I can record it before it becomes a compliance gap.","Given the attendance-not-recorded alert is enabled for my company, when I have not recorded attendance for the configured period, then I receive a reminder through my configured channels with email as fallback; Given I receive the reminder, when I open it, then it identifies the missing attendance and the action required; Given I record my attendance, when the condition is resolved, then no further reminder for that period is sent; Given the alert recurs, when attendance remains unrecorded, then subsequent reminders are sent per the configured schedule.",Medium,Kensium: Configuration > HRMS > Alerts > Configure Alerts (attendance reminder)
NTF-38,Notifications and Communications,Company Admin,Announcement alert toggle,"As a Company Admin, I want a configurable toggle to alert employees when a new announcement is published, so that important company announcements reach employees promptly.","Given the Configure Alerts screen, when I set the announcement alert toggle to Yes and Save, then announcement alerts are enabled and persisted; Given the toggle is enabled, when a new announcement is published, then affected employees receive an announcement alert; Given the toggle is set to No, when an announcement is published, then no announcement alert is sent; Given the setting is saved, when the screen reloads, then the toggle reflects the persisted value.",Medium,Kensium: Configuration > HRMS > Alerts > Configure Alerts
NTF-39,Notifications and Communications,Company Admin,Pending-task alert toggle,"As a Company Admin, I want a configurable toggle to alert employees about tasks awaiting their action, so that pending tasks are not forgotten.","Given the Configure Alerts screen, when I set the pending-task alert toggle to Yes and Save, then pending-task alerts are enabled and persisted; Given the toggle is enabled, when an employee has a task awaiting action, then they receive a pending-task alert; Given the toggle is set to No, when tasks are pending, then no pending-task alert is sent; Given the setting is saved, when the configuration is reopened, then the toggle reflects the persisted value.",Medium,Kensium: Configuration > HRMS > Alerts > Configure Alerts
NTF-40,Notifications and Communications,Company Admin,Overdue-task alert toggle,"As a Company Admin, I want a configurable toggle to alert employees when a task passes its due date, so that overdue work is surfaced before it causes downstream delays.","Given the Configure Alerts screen, when I set the overdue-task alert toggle to Yes and Save, then overdue-task alerts are enabled and persisted; Given the toggle is enabled, when a task passes its due date, then the responsible employee receives an overdue-task alert; Given the toggle is set to No, when a task becomes overdue, then no overdue-task alert is sent; Given the setting is saved, when the screen reloads, then the toggle reflects the persisted value.",Medium,Kensium: Configuration > HRMS > Alerts > Configure Alerts
NTF-41,Notifications and Communications,Company Admin,Save all alert configuration selections together,"As a Company Admin, I want to save all my alert toggle selections in a single action so that my complete alert configuration takes effect consistently across the system.","Given I have set multiple alert toggles (attendance, announcement, pending, overdue), when I click Save, then all selections are stored together and applied atomically; Given the save succeeds, when alerts are next evaluated, then each enabled alert type behaves per its toggle; Given a save fails, when I retry, then no partial subset of toggles is left applied; Given I reopen the Configure Alerts screen, when it loads, then every toggle reflects the last saved configuration.",High,Kensium: Configuration > HRMS > Alerts > Configure Alerts
